                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.03409,                    0.5,                      1,                 0.0656,             0.00023487,             0.00023487,             0.00023487
                      2,                0.03022,                0.45833,                      1,                0.06353,             0.00046702,             0.00046702,             0.00046702
                      3,                0.02731,                0.60417,                      1,                0.06151,             0.00069327,             0.00069327,             0.00069327
                      4,                0.02618,                 0.5625,                      1,                0.06046,             0.00068749,             0.00068749,             0.00068749
                      5,                0.02821,                0.54167,                      1,                0.06244,             0.00068749,             0.00068749,             0.00068749
                      6,                0.02453,                  0.375,                      1,                0.06418,             0.00067866,             0.00067866,             0.00067866
                      7,                0.02283,                0.39583,                      1,                 0.0646,             0.00066982,             0.00066982,             0.00066982
                      8,                0.02001,                0.41667,                      1,                0.06416,             0.00066099,             0.00066099,             0.00066099
                      9,                0.01977,                0.52083,                      1,                0.06285,             0.00065215,             0.00065215,             0.00065215
                     10,                0.01621,                0.41667,                      1,                0.06578,             0.00064331,             0.00064331,             0.00064331
                     11,                0.01235,                0.47917,                      1,                0.06395,             0.00063448,             0.00063448,             0.00063448
                     12,                0.01266,                    0.5,                      1,                0.06299,             0.00062564,             0.00062564,             0.00062564
                     13,                0.01128,                0.54167,                      1,                0.06162,             0.00061681,             0.00061681,             0.00061681
                     14,                0.00893,                 0.5625,                      1,                0.06032,             0.00060797,             0.00060797,             0.00060797
                     15,                0.00831,                0.52083,                      1,                0.06183,             0.00059914,             0.00059914,             0.00059914
                     16,                0.00658,                    0.5,                      1,                0.06277,              0.0005903,              0.0005903,              0.0005903
                     17,                0.00423,                0.47917,                      1,                0.06334,             0.00058146,             0.00058146,             0.00058146
                     18,                0.00345,                    0.5,                      1,                0.06295,             0.00057263,             0.00057263,             0.00057263
                     19,                0.00283,                0.45833,                      1,                0.06466,             0.00056379,             0.00056379,             0.00056379
                     20,                0.00225,                 0.4375,                      1,                0.06232,             0.00055496,             0.00055496,             0.00055496
                     21,                 0.0018,                0.45833,                      1,                0.06253,             0.00054612,             0.00054612,             0.00054612
                     22,                0.00176,                 0.5625,                      1,                0.06105,             0.00053728,             0.00053728,             0.00053728
                     23,                0.00134,                    0.5,                      1,                0.06083,             0.00052845,             0.00052845,             0.00052845
                     24,                0.00081,                0.52083,                      1,                0.06209,             0.00051961,             0.00051961,             0.00051961
                     25,                0.00075,                    0.5,                      1,                0.06262,             0.00051078,             0.00051078,             0.00051078
                     26,                0.00062,                    0.5,                      1,                0.06264,             0.00050194,             0.00050194,             0.00050194
                     27,                0.00057,                0.52083,                      1,                0.06207,             0.00049311,             0.00049311,             0.00049311
                     28,                0.00037,                0.52083,                      1,                0.06101,             0.00048427,             0.00048427,             0.00048427
                     29,                0.00058,                0.60417,                      1,                0.05827,             0.00047543,             0.00047543,             0.00047543
                     30,                0.00026,                0.54167,                      1,                0.06077,              0.0004666,              0.0004666,              0.0004666
                     31,                0.00028,                0.58333,                      1,                0.05962,             0.00045776,             0.00045776,             0.00045776
                     32,                0.00029,                0.58333,                      1,                0.05944,             0.00044893,             0.00044893,             0.00044893
                     33,                0.00019,                 0.5625,                      1,                0.05961,             0.00044009,             0.00044009,             0.00044009
                     34,                0.00018,                0.54167,                      1,                0.06114,             0.00043126,             0.00043126,             0.00043126
                     35,                0.00014,                0.54167,                      1,                0.06056,             0.00042242,             0.00042242,             0.00042242
                     36,                0.00017,                0.54167,                      1,                0.06097,             0.00041358,             0.00041358,             0.00041358
                     37,                 0.0002,                0.60417,                      1,                0.05967,             0.00040475,             0.00040475,             0.00040475
                     38,                0.00015,                 0.5625,                      1,                0.06045,             0.00039591,             0.00039591,             0.00039591
