                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2082,                 5.5613,                  3.287,                 1.5946,                0.00321,                      1,                0.37755,                0.25484,                0.00167,                0.54545,                0.11177,                  0.043,                 1.0691,                 5.2004,                  3.314,                 1.5579,             0.00046681,             0.00046681,             0.00046681
                      2,                 1.1512,                 3.5018,                 2.8964,                 1.5097,                0.23709,                0.42761,                 0.3766,                0.23748,                0.60077,                0.36027,                0.33907,                0.16437,                 1.1516,                 3.4303,                 2.4302,                  1.541,             0.00093147,             0.00093147,             0.00093147
                      3,                 1.1387,                 2.6608,                 2.5727,                 1.4466,                0.38781,                0.61262,                0.41622,                0.29222,                0.33675,                0.60694,                0.37688,                0.23946,                   1.03,                 2.3307,                 2.1646,                 1.5019,              0.0013843,              0.0013843,              0.0013843
                      4,                 1.1959,                 2.4276,                 2.4649,                 1.4334,                0.37002,                0.43773,                0.35322,                0.23025,                0.37002,                0.43773,                0.35276,                0.22135,                 1.0899,                 3.1383,                 3.7428,                 1.5866,              0.0013759,              0.0013759,              0.0013759
                      5,                 1.1855,                 2.3324,                 2.5693,                 1.4512,                0.31223,                0.44108,                 0.3171,                0.18789,                0.31223,                0.44108,                0.31338,                 0.2138,                 1.2158,                 2.1826,                 3.7634,                  1.623,              0.0013759,              0.0013759,              0.0013759
                      6,                 1.2011,                 2.2648,                  2.517,                 1.4702,                0.61483,                 0.2862,                0.29152,                0.17876,                0.64844,                 0.2862,                0.32582,                0.20813,                 1.3045,                   1.91,                 2.6731,                  1.652,              0.0013583,              0.0013583,              0.0013583
                      7,                 1.1518,                 2.0541,                 2.4973,                 1.4652,                0.34648,                0.50168,                0.41279,                0.25042,                0.34648,                0.50168,                0.40082,                0.29285,                 1.3135,                 2.4852,                 2.7964,                 1.9738,              0.0013406,              0.0013406,              0.0013406
                      8,                 1.0834,                 2.0156,                 2.3403,                  1.417,                0.47561,                0.60606,                0.50154,                0.34105,                0.47561,                0.60606,                0.49351,                0.32281,                 1.1654,                 2.7361,                 2.8378,                 1.7027,              0.0013229,              0.0013229,              0.0013229
                      9,                 1.1201,                 1.9998,                 2.2104,                 1.4295,                0.69485,                0.48822,                0.45523,                0.28007,                0.69485,                0.48822,                0.46493,                0.30319,                 1.2285,                 1.7026,                 2.3651,                 1.7606,              0.0013052,              0.0013052,              0.0013052
                     10,                 1.2018,                 1.8792,                  2.262,                 1.4978,                0.67564,                0.45723,                0.49327,                0.32701,                0.67564,                0.45723,                0.49327,                0.32296,                 1.0908,                 1.6787,                  2.441,                 1.4936,              0.0012875,              0.0012875,              0.0012875
                     11,                 1.0687,                 1.7722,                  2.227,                 1.4016,                0.49338,                0.80208,                0.67531,                0.46973,                0.49163,                0.79294,                0.65715,                 0.4498,                 1.0574,                 1.7757,                 2.4837,                   1.49,              0.0012698,              0.0012698,              0.0012698
                     12,                 1.1202,                 1.7575,                  2.141,                 1.4222,                0.33024,                0.77778,                0.61645,                0.39917,                0.33024,                0.77778,                0.61645,                0.42593,                  1.157,                  1.655,                 2.1023,                 1.5854,              0.0012522,              0.0012522,              0.0012522
                     13,                0.99516,                 1.7261,                 1.9885,                 1.3222,                0.28661,                0.69839,                0.47048,                0.30104,                0.28661,                0.69839,                0.47048,                0.31578,                 1.0218,                 1.8487,                 2.2463,                 1.4807,              0.0012345,              0.0012345,              0.0012345
                     14,                 1.0687,                 1.7296,                 2.0034,                 1.3875,                0.30226,                0.68738,                0.47632,                0.32408,                0.30226,                0.68738,                0.48182,                0.33108,                0.95225,                 1.7228,                 2.4471,                  1.415,              0.0012168,              0.0012168,              0.0012168
                     15,                 1.1411,                 1.7018,                 2.0351,                 1.3989,                0.61226,                0.49495,                0.58132,                0.42937,                0.61226,                0.49495,                0.58132,                0.44786,                  1.053,                 1.4774,                 2.1423,                 1.4777,              0.0011991,              0.0011991,              0.0011991
                     16,                 1.0816,                 1.5246,                 2.0957,                 1.3868,                0.54232,                0.53199,                0.52495,                0.38063,                0.54232,                0.53199,                0.52495,                0.34905,                0.99584,                 1.9131,                  2.149,                 1.3711,              0.0011814,              0.0011814,              0.0011814
