                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0408,                 4.6352,                 2.1414,                  1.445,                0.72323,                  0.625,                0.77655,                0.38077,                0.76264,                   0.65,                0.79243,                0.53301,                 1.2561,                 3.3456,                 2.6069,                 1.7308,             0.00065833,             0.00065833,             0.00065833
                      2,                 1.1241,                  2.352,                 1.6771,                 1.4398,                0.75194,                  0.875,                0.88561,                0.61267,                0.84122,                0.79482,                0.83791,                0.55327,                 1.0223,                 2.6969,                 2.0354,                 1.4339,              0.0013119,              0.0013119,              0.0013119
                      3,                 1.2099,                 2.1374,                 1.5596,                 1.4825,                0.79699,                   0.85,                0.90382,                0.61878,                0.82043,                  0.875,                0.91323,                0.69113,                 1.1115,                  1.895,                 2.6548,                 1.5545,              0.0019522,              0.0019522,              0.0019522
                      4,                 1.1343,                 2.1086,                 1.5613,                 1.4725,                0.64656,                0.82324,                0.81297,                0.53924,                0.62735,                0.79966,                0.76311,                 0.5797,                 1.1198,                 1.6728,                 2.0978,                 1.6537,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2476,                 1.9975,                 1.6193,                 1.5032,                0.94223,                 0.8156,                0.92848,                0.60339,                0.94223,                 0.8156,                0.91535,                0.60694,                  1.284,                 1.9188,                 1.7357,                 1.7766,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.2939,                 1.8683,                 1.5907,                 1.5394,                0.91302,                0.78741,                0.92283,                0.63378,                0.91302,                0.78741,                0.91402,                0.65886,                 1.0906,                 1.8093,                 1.6133,                 1.4774,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1324,                 1.8246,                 1.3904,                 1.4562,                0.90821,                0.74221,                0.89064,                0.55732,                0.90821,                0.74221,                0.87959,                0.57185,                  1.166,                 2.3253,                 2.0625,                 1.6591,               0.001901,               0.001901,               0.001901
                      8,                 1.1172,                 1.8474,                 1.3553,                 1.4268,                0.91798,                0.83958,                0.94201,                0.69025,                0.91798,                0.83958,                0.94256,                0.66124,                0.91925,                 1.7686,                 1.2594,                 1.3333,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.0044,                 1.4764,                 1.1887,                 1.3241,                 0.9428,                  0.925,                 0.9578,                0.71866,                 0.9428,                  0.925,                 0.9578,                0.73808,                0.83621,                  1.311,                  1.176,                 1.2845,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0947,                 1.5766,                 1.1807,                 1.4035,                 0.8156,                  0.825,                0.86386,                 0.5092,                 0.8156,                  0.825,                0.87204,                0.59506,                  1.329,                 1.4844,                 1.5429,                 1.9175,              0.0018416,              0.0018416,              0.0018416
